id,name,week,time of day,N,benefits,link
1,Biceps Curl,1,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
2,Biceps Curl,2,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
3,Biceps Curl,3,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
4,Biceps Curl,4,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
5,Biceps Curl,5,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
6,Biceps Curl,6,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
7,Biceps Curl,7,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
8,Biceps Curl,8,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
9,Biceps Curl,9,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
10,Biceps Curl,10,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
11,Biceps Curl,11,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
12,Biceps Curl,12,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
13,Biceps Curl,13,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
14,Biceps Curl,14,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
15,Biceps Curl,15,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
16,Biceps Curl,16,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
17,Biceps Curl,17,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
18,Biceps Curl,18,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
19,Biceps Curl,19,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
20,Biceps Curl,20,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
21,Biceps Curl,21,Morning,8,Reduce reps if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
22,Biceps Curl,22,Morning,8,Reduce reps if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
23,Biceps Curl,23,Morning,8,Reduce reps if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
24,Biceps Curl,24,Morning,8,Reduce reps if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
25,Biceps Curl,25,Morning,8,Reduce reps if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
26,Biceps Curl,26,Morning,8,Reduce reps if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
27,Biceps Curl,27,Morning,8,Reduce reps if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
28,Biceps Curl,28,Morning,8,Reduce reps if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
29,Biceps Curl,29,Morning,6,Reduce reps/weight if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
30,Biceps Curl,30,Morning,6,Reduce reps/weight if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
31,Biceps Curl,31,Morning,6,Reduce reps/weight if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
32,Biceps Curl,32,Morning,6,Reduce reps/weight if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
33,Biceps Curl,33,Morning,6,Reduce reps/weight if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
34,Biceps Curl,34,Morning,6,Reduce reps/weight if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
35,Biceps Curl,35,Morning,6,Reduce reps/weight if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
36,Biceps Curl,36,Morning,6,Reduce reps/weight if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
37,Biceps Curl,37,Morning,6,"Focus on comfort, maintain gentle activity",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
38,Biceps Curl,38,Morning,6,"Focus on comfort, maintain gentle activity",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
39,Biceps Curl,39,Morning,6,"Focus on comfort, maintain gentle activity",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
40,Biceps Curl,40,Morning,6,"Focus on comfort, maintain gentle activity",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
41,Squat,1,Evening,10,"Strengthens legs, glutes, pelvic floor",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
42,Squat,2,Evening,10,"Strengthens legs, glutes, pelvic floor",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
43,Squat,3,Evening,10,"Strengthens legs, glutes, pelvic floor",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
44,Squat,4,Evening,10,"Strengthens legs, glutes, pelvic floor",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
45,Squat,5,Evening,10,"Strengthens legs, glutes, pelvic floor",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
46,Squat,6,Evening,10,"Strengthens legs, glutes, pelvic floor",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
47,Squat,7,Evening,10,"Strengthens legs, glutes, pelvic floor",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
48,Squat,8,Evening,10,"Strengthens legs, glutes, pelvic floor",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
49,Squat,9,Evening,10,"Strengthens legs, glutes, pelvic floor",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
50,Squat,10,Evening,10,"Strengthens legs, glutes, pelvic floor",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
51,Squat,11,Evening,10,"Strengthens legs, glutes, pelvic floor",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
52,Squat,12,Evening,10,"Strengthens legs, glutes, pelvic floor",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
53,Squat,13,Evening,10,"Maintain strength, add support if needed",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
54,Squat,14,Evening,10,"Maintain strength, add support if needed",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
55,Squat,15,Evening,10,"Maintain strength, add support if needed",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
56,Squat,16,Evening,10,"Maintain strength, add support if needed",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
57,Squat,17,Evening,10,"Maintain strength, add support if needed",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
58,Squat,18,Evening,10,"Maintain strength, add support if needed",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
59,Squat,19,Evening,10,"Maintain strength, add support if needed",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
60,Squat,20,Evening,10,"Maintain strength, add support if needed",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
61,Squat,21,Evening,8,Reduce reps if fatigue increases,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
62,Squat,22,Evening,8,Reduce reps if fatigue increases,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
63,Squat,23,Evening,8,Reduce reps if fatigue increases,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
64,Squat,24,Evening,8,Reduce reps if fatigue increases,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
65,Squat,25,Evening,8,Reduce reps if fatigue increases,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
66,Squat,26,Evening,8,Reduce reps if fatigue increases,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
67,Squat,27,Evening,8,Reduce reps if fatigue increases,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
68,Squat,28,Evening,8,Reduce reps if fatigue increases,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
69,Squat,29,Evening,6,Use chair/wall for support,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
70,Squat,30,Evening,6,Use chair/wall for support,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
71,Squat,31,Evening,6,Use chair/wall for support,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
72,Squat,32,Evening,6,Use chair/wall for support,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
73,Squat,33,Evening,6,Use chair/wall for support,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
74,Squat,34,Evening,6,Use chair/wall for support,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
75,Squat,35,Evening,6,Use chair/wall for support,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
76,Squat,36,Evening,6,Use chair/wall for support,https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
77,Squat,37,Evening,6,"Focus on comfort, maintain gentle activity",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
78,Squat,38,Evening,6,"Focus on comfort, maintain gentle activity",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
79,Squat,39,Evening,6,"Focus on comfort, maintain gentle activity",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
80,Squat,40,Evening,6,"Focus on comfort, maintain gentle activity",https://www.healthline.com/health/pregnancy/squats-during-pregnancy#how-to-do-squats-safely-during-pregnancy
81,Overhead Press,1,Morning,8,"Strengthens shoulders, improves posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
82,Overhead Press,2,Morning,8,"Strengthens shoulders, improves posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
83,Overhead Press,3,Morning,8,"Strengthens shoulders, improves posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
84,Overhead Press,4,Morning,8,"Strengthens shoulders, improves posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
85,Overhead Press,5,Morning,8,"Strengthens shoulders, improves posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
86,Overhead Press,6,Morning,8,"Strengthens shoulders, improves posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
87,Overhead Press,7,Morning,8,"Strengthens shoulders, improves posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
88,Overhead Press,8,Morning,8,"Strengthens shoulders, improves posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
89,Overhead Press,9,Morning,8,"Strengthens shoulders, improves posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
90,Overhead Press,10,Morning,8,"Strengthens shoulders, improves posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
91,Overhead Press,11,Morning,8,"Strengthens shoulders, improves posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
92,Overhead Press,12,Morning,8,"Strengthens shoulders, improves posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
93,Overhead Press,13,Morning,8,"Seated position if needed, lighter weights",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
94,Overhead Press,14,Morning,8,"Seated position if needed, lighter weights",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
95,Overhead Press,15,Morning,8,"Seated position if needed, lighter weights",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
96,Overhead Press,16,Morning,8,"Seated position if needed, lighter weights",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
97,Overhead Press,17,Morning,8,"Seated position if needed, lighter weights",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
98,Overhead Press,18,Morning,8,"Seated position if needed, lighter weights",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
99,Overhead Press,19,Morning,8,"Seated position if needed, lighter weights",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
100,Overhead Press,20,Morning,8,"Seated position if needed, lighter weights",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
101,Overhead Press,21,Morning,7,Reduce reps if fatigue increases,https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
102,Overhead Press,22,Morning,7,Reduce reps if fatigue increases,https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
103,Overhead Press,23,Morning,7,Reduce reps if fatigue increases,https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
104,Overhead Press,24,Morning,7,Reduce reps if fatigue increases,https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
105,Overhead Press,25,Morning,7,Reduce reps if fatigue increases,https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
106,Overhead Press,26,Morning,7,Reduce reps if fatigue increases,https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
107,Overhead Press,27,Morning,7,Reduce reps if fatigue increases,https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
108,Overhead Press,28,Morning,7,Reduce reps if fatigue increases,https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
109,Overhead Press,29,Morning,6,"Seated press, focus on posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
110,Overhead Press,30,Morning,6,"Seated press, focus on posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
111,Overhead Press,31,Morning,6,"Seated press, focus on posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
112,Overhead Press,32,Morning,6,"Seated press, focus on posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
113,Overhead Press,33,Morning,6,"Seated press, focus on posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
114,Overhead Press,34,Morning,6,"Seated press, focus on posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
115,Overhead Press,35,Morning,6,"Seated press, focus on posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
116,Overhead Press,36,Morning,6,"Seated press, focus on posture",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
117,Overhead Press,37,Morning,6,"Focus on comfort, maintain gentle activity",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
118,Overhead Press,38,Morning,6,"Focus on comfort, maintain gentle activity",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
119,Overhead Press,39,Morning,6,"Focus on comfort, maintain gentle activity",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
120,Overhead Press,40,Morning,6,"Focus on comfort, maintain gentle activity",https://mamastefit.com/blog/pregnancy-vertical-press-modifications#How-to-Modify-Overhead-Press-During-Pregnancy
